Actual_High,Actual_Low,Predicted_High_XGBoost,Predicted_Low_XGBoost
209.855,209.61,209.89532,209.6731
218.1,218.01,218.08348,218.03343
211.23,211.13,211.21338,211.15575
228.08,227.99,228.14476,228.04694
213.61,213.4,213.80989,213.40575
215.97,215.67,215.71791,215.23387
232.55,232.31,232.48459,232.333
228.2,228.1,228.30919,228.18758
216.69,216.61,216.59401,216.64009
213.75,213.65,213.73956,213.50783
232.35,232.16,232.39919,232.27257
208.65,208.53,208.52777,208.24545
228.22,228.1,228.17761,228.02843
226.39,226.35,226.35709,226.56203
210.18,209.392,210.262,209.41933
231.32,231.095,231.362,231.07199
221.19,221.18,221.19347,221.03163
208.93,208.89,209.05919,209.00282
219.75,219.71,219.7505,219.70004
218.08,217.78,218.08247,217.92204
210.77,210.63,210.7452,210.60687
209.7,209.51,209.58165,209.55573
213.46,213.4,213.68974,213.36572
214.51,214.29,214.44817,214.2196
211.3,210.62,211.41605,210.74236
213.74,213.54,213.7307,213.7019
219.6,219.56,219.64369,219.37134
216.0,212.06,216.23474,213.38004
209.4,209.25,209.33266,209.30211
220.38,219.36,220.3125,219.49532
210.25,210.135,210.31186,210.32298
213.45,213.33,213.3707,213.33984
211.878,211.64,211.7993,211.81822
213.99,213.9,214.03072,213.9433
210.29,209.13,210.4091,209.42097
216.424,216.265,216.60542,216.39479
227.12,227.06,227.15465,227.0565
227.86,227.67,227.93338,227.85374
230.25,230.19,230.21616,230.44925
227.53,227.05,227.63945,227.14894
210.87,210.58,211.08238,210.78633
210.19,210.09,210.2369,210.08304
219.45,219.03,219.42007,219.26224
230.23,230.2,230.21611,230.45502
220.33,219.47,220.0166,219.34766
216.18,216.13,216.15927,216.01277
227.38,227.33,227.49985,227.3768
233.08,232.86,232.98534,232.70311
213.67,213.6,213.68741,213.50461
217.95,217.9,217.95961,217.80743
214.72,214.56,214.53839,214.47548
213.93,213.9,213.93242,213.95494
214.5,214.26,214.43802,214.30081
228.38,228.38,228.43076,228.35593
216.13,216.05,216.14673,215.96385
